Z,Pressure,Grip Angle,Timestamp,Test ID,X Displacement,Y Displacement,Distance,Stable
0,347,970,1732697382,0,0,0,0,0
0,354,1000,1732697389,0,0,0,0,0
0,373,990,1732697396,0,0,0,0,0
0,418,990,1732697403,0,0,0,0,0
0,446,980,1732697410,0,0,0,0,0
0,459,980,1732697417,0,0,0,0,0
0,476,1000,1732697424,0,1,0,1,0
0,490,1000,1732697431,0,0,0,0,0
0,508,990,1732697438,0,0,0,0,0
0,525,960,1732697445,0,0,0,0,0
0,535,950,1732697452,0,1,0,1,0
0,547,970,1732697460,0,0,0,0,0
0,559,980,1732697467,0,1,0,1,0
0,568,1010,1732697474,0,0,0,0,0
0,576,1030,1732697481,0,0,1,1,0
0,580,1030,1732697488,0,0,0,0,0
0,586,1030,1732697495,0,0,0,0,0
0,594,1010,1732697502,0,0,0,0,0
0,596,1000,1732697509,0,1,0,1,0
0,600,980,1732697516,0,0,0,0,0
0,602,990,1732697523,0,0,0,0,0
0,602,970,1732697530,0,0,0,0,0
0,606,950,1732697537,0,1,0,1,0
0,608,940,1732697544,0,0,0,0,0
0,613,910,1732697551,0,0,0,0,0
0,617,930,1732697558,0,1,0,1,0
0,622,940,1732697565,0,0,1,1,0
0,627,950,1732697572,0,0,0,0,0
0,633,970,1732697579,0,0,1,1,0
0,637,970,1732697586,0,0,0,0,0
0,641,950,1732697593,0,0,0,0,0
0,646,950,1732697600,0,0,0,0,0
0,646,940,1732697607,0,0,0,0,0
0,651,930,1732697614,0,0,0,0,0
0,652,930,1732697621,0,0,0,0,0
0,654,930,1732697628,0,0,0,0,0
0,657,930,1732697635,0,0,0,0,0
0,660,950,1732697642,0,1,1,0,0
0,662,970,1732697650,0,0,1,1,0
0,667,970,1732697657,0,0,0,0,0
0,666,980,1732697664,0,0,0,0,0
0,670,950,1732697671,0,1,0,1,0
0,673,940,1732697678,0,0,0,0,0
0,672,930,1732697685,0,0,0,0,0
0,676,940,1732697692,0,0,0,0,0
0,678,950,1732697699,0,0,1,1,0
0,676,990,1732697706,0,1,0,1,0
0,680,1000,1732697713,0,0,1,1,0
0,681,1000,1732697720,0,0,0,0,0
0,684,980,1732697727,0,1,0,1,0
0,687,970,1732697734,0,0,0,0,0
0,687,950,1732697741,0,0,0,0,0
0,689,970,1732697748,0,0,0,0,0
0,691,1000,1732697755,0,0,1,1,0
0,689,1020,1732697762,0,0,1,1,0
0,693,1000,1732697769,0,0,0,0,0
0,693,990,1732697776,0,0,0,0,0
0,694,980,1732697783,0,0,0,0,0
0,696,980,1732697790,0,0,0,0,0
0,696,1000,1732697797,0,0,0,0,0
0,699,1000,1732697804,0,0,0,0,0
0,699,1000,1732697811,0,0,0,0,0
0,701,1000,1732697818,0,0,1,1,0
0,704,1020,1732697825,0,0,0,0,0
0,705,1000,1732697833,0,0,0,0,0
0,705,1000,1732697840,0,0,0,0,0
0,706,980,1732697847,0,0,0,0,0
0,708,980,1732697854,0,0,0,0,0
0,707,1010,1732697861,0,0,1,1,0
